gene_id,med_1,med_3,med_5,med_9,med_15
TcCLB.507795.20,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.507795.10,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01,TcChr36-S_PTU01
TcCLB.510141.4,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510141.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510141.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.5,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.17,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.24,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.30,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.40,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.60,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.70,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.80,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.90,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.110,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.120,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510143.129,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.508075.7,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.508075.14,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.508075.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.508075.30,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.508075.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.508075.60,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510145.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510145.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510145.30,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510145.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510145.59,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510147.9,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.9,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.30,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.40,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.60,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.70,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.80,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.90,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.100,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.110,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.120,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.130,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.140,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.510149.150,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.80,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.70,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.60,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.45,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.40,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.503811.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.4,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.30,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.69,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.81,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.90,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.120,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.506591.130,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.403153.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.403153.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.30,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.40,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.50,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.64,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.80,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.90,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.100,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.109,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504431.118,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504433.10,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504433.14,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504433.20,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02,TcChr36-S_PTU02
TcCLB.504143.10,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03
TcCLB.504143.20,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03
TcCLB.504143.30,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03,TcChr36-S_PTU03
TcCLB.503643.39,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04
TcCLB.503643.30,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04
TcCLB.503643.20,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04
TcCLB.503643.10,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04
TcCLB.503643.6,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04
TcCLB.503643.3,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04,TcChr36-S_PTU04
TcCLB.504029.101,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.90,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.80,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.70,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.60,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.50,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.40,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.504029.21,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05,TcChr36-S_PTU05
TcCLB.503685.30,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.503685.20,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.503685.10,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.503685.5,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.503683.30,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.503683.20,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.503683.11,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.10,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.20,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.30,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.40,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.45,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.50,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507529.58,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507531.10,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507531.19,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507533.10,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06,TcChr36-S_PTU06
TcCLB.507533.21,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507721.20,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507721.10,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.170,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.160,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.150,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.140,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.120,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.110,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.100,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.90,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.80,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.75,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.70,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.60,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.50,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.40,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.30,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.20,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.14,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509669.10,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.480997.10,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.506237.19,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.506237.10,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509381.29,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509381.20,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509381.10,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509379.29,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509379.20,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509379.10,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509379.5,TcChr36-S_PTU08,TcChr36-S_PTU08,TcChr36-S_PTU08,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.509377.20,TcChr36-S_PTU08,TcChr36-S_PTU08,TcChr36-S_PTU08,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.180,TcChr36-S_PTU08,TcChr36-S_PTU08,TcChr36-S_PTU08,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.200,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.190,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.170,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.160,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.150,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.140,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.130,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.120,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.110,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.100,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.90,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.80,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.70,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.60,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.50,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.40,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.30,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.20,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.507257.10,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU09,TcChr36-S_PTU07,TcChr36-S_PTU07
TcCLB.437121.9,TcChr36-S_PTU10,TcChr36-S_PTU10,TcChr36-S_PTU10,TcChr36-S_PTU08,TcChr36-S_PTU08
